requested_length,generated_count,empirical_real_like_geometry_count,empirical_real_like_geometry_fraction,heuristic_edm_quality_count,heuristic_edm_quality_fraction,triangle_violation_fraction_generated_mean,triangle_violation_fraction_generated_median,triangle_violation_fraction_real_q99,triangle_violation_fraction_pass_fraction,negative_eigenvalue_mass_fraction_generated_mean,negative_eigenvalue_mass_fraction_generated_median,negative_eigenvalue_mass_fraction_real_q99,negative_eigenvalue_mass_fraction_pass_fraction,rank3_residual_energy_fraction_generated_mean,rank3_residual_energy_fraction_generated_median,rank3_residual_energy_fraction_real_q99,rank3_residual_energy_fraction_pass_fraction,classical_mds_stress_generated_mean,classical_mds_stress_generated_median,classical_mds_stress_real_q99,classical_mds_stress_pass_fraction,adjacent_residue_distance_rmse_generated_mean,adjacent_residue_distance_rmse_generated_median,adjacent_residue_distance_rmse_real_q99,adjacent_residue_distance_rmse_pass_fraction
64,100,0,0.0,43,0.43,0.0043017578125,0.00244140625,0.0,0.1,0.051912388495042594,0.05216687126296955,3.0924692580670974e-07,0.0,0.07594390263208242,0.0707390646746113,3.0810132363312875e-07,0.0,0.03643198300307005,0.031409733082361356,6.942476460497476e-08,0.0,0.3395380708358859,0.3217438067789128,0.14864897597565827,0.0
128,100,0,0.0,4,0.04,0.00119140625,0.0009765625,0.0,0.29,0.07454667442775097,0.07578568274133365,4.277771256801951e-07,0.0,0.12596693804363945,0.1290750291152727,4.254906075249403e-07,0.0,0.0589698806789663,0.060185662706351215,5.7193193870847464e-08,0.0,0.23023239871045642,0.21530286575986138,0.10258993680089436,0.0
256,100,0,0.0,1,0.01,0.0012939453125,0.0009765625,0.0,0.16,0.11132415233167085,0.1110513924793168,6.037346441989835e-07,0.0,0.1804781067148279,0.18061317970421478,6.036698531377487e-07,0.0,0.08811395858774822,0.0867589540782214,4.008876393795454e-08,0.0,0.25593890144475145,0.2424158629493262,0.08825731543744259,0.0
384,50,0,0.0,0,0.0,0.001611328125,0.0009765625,0.0,0.08,0.1383303426153635,0.14013956231824032,7.171801553195503e-07,0.0,0.22325135927700807,0.22770770301455673,7.17116964168224e-07,0.0,0.11412224058060139,0.11251585554919169,3.957829014773378e-08,0.0,0.2926970908170637,0.28508793424549556,0.09756840216137772,0.0
500,25,0,0.0,0,0.0,0.00251953125,0.0029296875,0.0,0.08,0.16265100072410094,0.16553007578017467,8.028266407990072e-07,0.0,0.23920580760461146,0.23640062420210484,8.028631527027116e-07,0.0,0.1193911686766533,0.11838996414708584,3.850429058147912e-08,0.0,0.30085995028756174,0.30830336015074733,0.09309594233281444,0.0
